publishedAt,title,body,rating,author,useful
2021-11-08T09:06:42+0100,Vlugge bezorging en kwaliteit die je mag verwachte,,5,"{'country': 'NL', 'authorId': 12903765, 'firstname': 'Hgm van', 'gender': 'Man', 'age': '60 of ouder', 'countryLabel': 'Nederland'}",True
2021-11-05T09:20:14+0100,"Zeer warme, wind waterdichte Jas",,5,"{'country': 'NL', 'authorId': 12958713, 'firstname': 'Laila', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2021-11-04T09:03:47+0100,Top jas!,,5,"{'country': 'NL', 'authorId': 12956544, 'firstname': 'Mark', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-05T09:17:30+0100,"Ziet er erg goed uit, pasvorm is niet geweldig",,4,"{'country': 'NL', 'authorId': 12955433, 'firstname': 'Mark', 'gender': 'Man', 'age': '30-39', 'countryLabel': 'Nederland'}",True
2021-11-02T08:58:40+0100,Prima jas met juist maat,,5,"{'country': 'NL', 'authorId': 12877737, 'firstname': 'Mark', 'countryLabel': 'Nederland'}",True
2021-10-26T09:23:31+0200,heerlijk warm,,5,"{'country': 'NL', 'authorId': 12930467, 'firstname': 'Colette', 'countryLabel': 'Nederland'}",True
2021-10-26T09:23:31+0200,Geweldig,,5,"{'country': 'NL', 'authorId': 12930403, 'firstname': 'Rishairo', 'countryLabel': 'Nederland'}",True
2021-10-26T09:23:27+0200,Zeer goed.,,5,"{'country': 'NL', 'authorId': 12929759, 'firstname': 'Bert', 'gender': 'Man', 'age': '20-29', 'countryLabel': 'Nederland'}",True
2021-10-25T09:37:25+0200,"online besteld,omgeruild aangezien jas eng uitvalt",,5,"{'country': 'NL', 'authorId': 12925959, 'firstname': 'frans', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-10-11T09:21:01+0200,"Heerlijke mooie jas,",,5,"{'country': 'NL', 'authorId': 12406512, 'firstname': 'Martijn', 'countryLabel': 'Nederland'}",True
2021-05-17T11:25:16+0200,Heerlijke winterjas,,5,"{'country': 'NL', 'authorId': 8458689, 'firstname': 'Andy', 'countryLabel': 'Nederland'}",True
2021-04-12T09:52:35+0200,Mooie degelijke jas,,5,"{'country': 'NL', 'authorId': 12265086, 'firstname': 'Mark', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-03-15T09:07:57+0100,Prima jas,,4,"{'country': 'NL', 'authorId': 12174370, 'firstname': 'Sabrina', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
